"","accession","isolate","host","db_xref","country","collection_date","note","length","definition","version"
"418","KX148149","93039EST","raccoon dog",11292,"Estonia","1991",NA,11801,"Rabies lyssavirus isolate 93039EST nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148149.1"
"419","KX148148","93038EST","fox",11292,"Estonia","1992",NA,11801,"Rabies lyssavirus isolate 93038EST nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148148.1"
"420","KX148147","93048FIN","raccoon dog",11292,"Finland","1988",NA,11801,"Rabies lyssavirus isolate 93048FIN nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148147.1"
"421","KX148146","93046FIN","fox",11292,"Finland","1993",NA,11801,"Rabies lyssavirus isolate 93046FIN nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148146.1"
"422","KX148145","86054YOU","wolf",11292,"Bosnia and Herzegovina","1986",NA,11801,"Rabies lyssavirus isolate 86054YOU nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148145.1"
"423","KX148144","94099SLN","fox",11292,"Slovenia","1994",NA,11801,"Rabies lyssavirus isolate 94099SLN nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148144.1"
"424","KX148143","93080HON","fox",11292,"Hungary","1993",NA,11802,"Rabies lyssavirus isolate 93080HON nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148143.1"
"425","KX148142","96177POL","fox",11292,"Poland","1994",NA,11801,"Rabies lyssavirus isolate 96177POL nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148142.1"
"426","KX148141","96135POL","fox",11292,"Poland","1992",NA,11801,"Rabies lyssavirus isolate 96135POL nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148141.1"
"427","KX148140","86109YOU","fox",11292,"Serbia","1986",NA,11801,"Rabies lyssavirus isolate 86109YOU nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148140.1"
"428","KX148139","93093HON","fox",11292,"Hungary","1993",NA,11800,"Rabies lyssavirus isolate 93093HON nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148139.1"
"429","KX148138","93091HON","fox",11292,"Hungary","1993",NA,11801,"Rabies lyssavirus isolate 93091HON nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148138.1"
"430","KX148137","93089HON","fox",11292,"Hungary","1993",NA,11800,"Rabies lyssavirus isolate 93089HON nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148137.1"
"431","KX148136","93083HON","fox",11292,"Hungary","1993",NA,11800,"Rabies lyssavirus isolate 93083HON nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148136.1"
"432","KX148135","92001GER","fox",11292,"Germany","1991",NA,11801,"Rabies lyssavirus isolate 92001GER nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148135.1"
"433","KX148134","94029FRA","fox",11292,"France","1994",NA,11801,"Rabies lyssavirus isolate 94029FRA nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148134.1"
"434","KX148133","86111YOU","fox",11292,"Bosnia and Herzegovina","1986",NA,11801,"Rabies lyssavirus isolate 86111YOU nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148133.1"
"435","KX148132","94094SLN","fox",11292,"Slovenia","1994",NA,11801,"Rabies lyssavirus isolate 94094SLN nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148132.1"
"436","KX148131","94086SLN","fox",11292,"Slovenia","1994",NA,11801,"Rabies lyssavirus isolate 94086SLN nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148131.1"
"437","KX148130","94096SLN","fox",11292,"Slovenia","1994",NA,11801,"Rabies lyssavirus isolate 94096SLN nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148130.1"
"438","KX148129","94091SLN","fox",11292,"Slovenia","1994",NA,11801,"Rabies lyssavirus isolate 94091SLN nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148129.1"
"439","KX148128","92044FRA","fox",11292,"France","1992",NA,11801,"Rabies lyssavirus isolate 92044FRA nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148128.1"
"440","KX148127","91047FRA","fox",11292,"France","1991",NA,11801,"Rabies lyssavirus isolate 91047FRA nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148127.1"
"441","KX148126","96002FRA","fox",11292,"France","1996",NA,11801,"Rabies lyssavirus isolate 96002FRA nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148126.1"
"442","KX148125","94033BEL","fox",11292,"Belgium","1994",NA,11801,"Rabies lyssavirus isolate 94033BEL nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148125.1"
"443","KX148124","92010GER","fox",11292,"Germany","1991",NA,11801,"Rabies lyssavirus isolate 92010GER nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148124.1"
"444","KX148123","92017GER","fox",11292,"Germany","1991",NA,11801,"Rabies lyssavirus isolate 92017GER nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148123.1"
"445","KX148122","92012GER","fox",11292,"Germany","1991",NA,11801,"Rabies lyssavirus isolate 92012GER nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148122.1"
"446","KX148121","96056POL","fox",11292,"Poland","1993",NA,11800,"Rabies lyssavirus isolate 96056POL nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148121.1"
"447","KX148120","96140POL","raccoon dog",11292,"Poland","1993",NA,11800,"Rabies lyssavirus isolate 96140POL nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148120.1"
"448","KX148119","96045POL","fox",11292,"Poland","1993",NA,11800,"Rabies lyssavirus isolate 96045POL nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148119.1"
"449","KX148118","96077POL","raccoon dog",11292,"Poland","1994",NA,11803,"Rabies lyssavirus isolate 96077POL nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148118.1"
"450","KX148117","97046POL","fox",11292,"Poland","1997",NA,11802,"Rabies lyssavirus isolate 97046POL nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148117.1"
"451","KX148116","96256POL","fox",11292,"Poland","1996",NA,11802,"Rabies lyssavirus isolate 96256POL nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148116.1"
"452","KX148115","96250POL","fox",11292,"Poland","1996",NA,11802,"Rabies lyssavirus isolate 96250POL nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148115.1"
"453","KX148114","96104POL","fox",11292,"Poland","1995",NA,11802,"Rabies lyssavirus isolate 96104POL nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148114.1"
"454","KX148113","92002GER","fox",11292,"Germany","1991",NA,11802,"Rabies lyssavirus isolate 92002GER nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148113.1"
"455","KX148112","91010MEX","Homo sapiens",11292,"Mexico","1991",NA,11802,"Rabies lyssavirus isolate 91010MEX nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148112.1"
"456","KX148111","91015MEX","dog",11292,"Mexico","1991",NA,11802,"Rabies lyssavirus isolate 91015MEX nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148111.1"
"457","KX148110","91014MEX","dog",11292,"Mexico","1991",NA,11802,"Rabies lyssavirus isolate 91014MEX nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and polymerase genes, complete cds.","KX148110.1"
"458","KR534249","RV2895","domestic dog",11292,"Tanzania: Serengeti District","2011",NA,11917,"Rabies lyssavirus isolate RV2895, partial genome.","KR534249.2"
"459","KR534244","RV2889","domestic dog",11292,"Tanzania: Serengeti District","2011",NA,11914,"Rabies lyssavirus isolate RV2889, complete genome.","KR534244.2"
"460","KR534238","RV2800","domestic dog",11292,"Tanzania: Serengeti District","2011",NA,11867,"Rabies lyssavirus isolate RV2800, partial genome.","KR534238.2"
"461","KR534231","RV2791","domestic dog",11292,"Tanzania: Serengeti District","2010",NA,11884,"Rabies lyssavirus isolate RV2791, partial genome.","KR534231.2"
"462","KR534230","RV2790","domestic dog",11292,"Tanzania: Serengeti District","2010",NA,11885,"Rabies lyssavirus isolate RV2790, partial genome.","KR534230.2"
"463","KR534229","RV2789","domestic dog",11292,"Tanzania: Serengeti District","2010",NA,11849,"Rabies lyssavirus isolate RV2789, partial genome.","KR534229.2"
"464","KR534228","RV2788","domestic dog",11292,"Tanzania: Serengeti District","2010",NA,11914,"Rabies lyssavirus isolate RV2788, partial genome.","KR534228.2"
"465","LM645056","Gra 02.08-7-F","Polar fox",11292,"Greenland","Apr-2008",NA,11880,"Rabies virus viral cRNA for Nucleoprotein (N gene), isolate Gra 02.08-7-F.","LM645056.1"
"466","LM645055","Gra 21.06-7-F","Polar fox",11292,"Greenland","Sep-2006",NA,11907,"Rabies virus viral cRNA for Nucleoprotein (N gene), isolate Gra 21.06-7-F.","LM645055.1"
"467","LM645051","Gra 01.06-7-F","Polar fox",11292,"Greenland","Jan-2007",NA,11919,"Rabies virus viral cRNA for Nucleoprotein (N gene), isolate Gra 01.06-7-F.","LM645051.1"
"468","LM645050","Gra 3b.07-7-F","Polar fox",11292,"Greenland","Jan-2007",NA,11909,"Rabies virus viral cRNA for Nucleoprotein (N gene), isolate Gra 3b.07-7-F.","LM645050.1"
"469","LM645049","Gra 3a.07-7-F","Polar fox",11292,"Greenland","Jan-2007",NA,11918,"Rabies virus viral cRNA for Nucleoprotein (N gene), isolate Gra 3a.07-7-F.","LM645049.1"
"470","LM645048","Gra 18.05-7-F","Polar fox",11292,"Greenland","Nov-2005",NA,11915,"Rabies virus viral cRNA for Nucleoprotein (N gene), isolate Gra 18.05-7-F.","LM645048.1"
"471","LM645045","Gra 05.07-7-F","Polar fox",11292,"Greenland","Feb-2007",NA,11919,"Rabies virus viral cRNA for Nucleoprotein (N gene), isolate Gra 05.07-7-F.","LM645045.1"
"472","LM645043","Gra 01.10-7-F","Polar fox",11292,"Greenland","Jan-2010",NA,11908,"Rabies virus viral cRNA for Nucleoprotein (N gene), isolate Gra 01.10-7-F.","LM645043.1"
"473","LM645042","Gra 03.09-7-F","Polar fox",11292,"Greenland","Mar-2009",NA,11893,"Rabies virus viral cRNA for Nucleoprotein (N gene), isolate Gra 03.09-7-F.","LM645042.1"
"474","LM645040","Gra 02.09-7-S","Sheep",11292,"Greenland","Jan-2009",NA,11917,"Rabies virus viral cRNA for Nucleoprotein (N gene), isolate Gra 02.09-7-S.","LM645040.1"
"475","LM645039","Gra 01.09-7-S","Sheep",11292,"Greenland","Jan-2009",NA,11907,"Rabies virus viral cRNA for Nucleoprotein (N gene), isolate Gra 01.09-7-S.","LM645039.1"
"476","LM645038","Gra 13.09-6-F","Polar fox",11292,"Greenland","Dec-2009",NA,11908,"Rabies virus viral cRNA for Nucleoprotein (N gene), isolate Gra 13.09-6-F.","LM645038.1"
"477","LM645035","Gra 07.10-6-F","Polar fox",11292,"Greenland","Sep-2010",NA,11887,"Rabies virus viral cRNA for Nucleoprotein (N gene), isolate Gra 07.10-6-F.","LM645035.1"
"478","LM645033","Gra 02.10-5-F","Polar fox",11292,"Greenland","May-2010",NA,11896,"Rabies virus viral cRNA for Nucleoprotein (N gene), isolate Gra 02.10-5-F.","LM645033.1"
"479","LM645028","Gra 09.06-3-F","Polar fox",11292,"Greenland","Mar-2006",NA,11897,"Rabies virus viral cRNA for Nucleoprotein (N gene), isolate Gra 09.06-3-F.","LM645028.1"
"480","LM645025","Gra 03.06-3-F","Polar fox",11292,"Greenland","Feb-2006",NA,11902,"Rabies virus viral cRNA for Nucleoprotein (N gene), isolate Gra 03.06-3-F.","LM645025.1"
"481","LM645024","Gra 10.06-3-F","Polar fox",11292,"Greenland","Mar-2006",NA,11916,"Rabies virus viral cRNA for Nucleoprotein (N gene), isolate Gra 10.06-3-F.","LM645024.1"
"482","LM645023","Gra 08.06-3-F","Polar fox",11292,"Greenland","Mar-2006",NA,11916,"Rabies virus viral cRNA for Nucleoprotein (N gene), isolate Gra 08.06-3-F.","LM645023.1"
"483","LM645021","Gra 04.06-3-F","Polar fox",11292,"Greenland","Feb-2006",NA,11914,"Rabies virus viral cRNA for Nucleoprotein (N gene), isolate Gra 04.06-3-F.","LM645021.1"
"484","LM645020","Gra 02.07-3-F","Polar fox",11292,"Greenland","Jan-2007",NA,11895,"Rabies virus viral cRNA for Nucleoprotein (N gene), isolate Gra 02.07-3-F.","LM645020.1"
"485","LM645019","Gra 03.10-2-F","Polar fox",11292,"Greenland","Jun-2010",NA,11916,"Rabies virus viral cRNA for Nucleoprotein (N gene), isolate Gra 03.10-2-F.","LM645019.1"
"486","LM645017","Gra 21.05-1-F","Polar fox",11292,"Greenland","Dec-2005",NA,11919,"Rabies virus viral cRNA for Nucleoprotein (N gene), isolate Gra 21.05-1-F.","LM645017.1"
"487","KX036362","RV1415-GRL-4-F-2001","Arctic fox",11292,"Greenland","01-Dec-2001",NA,11901,"Rabies virus isolate RV1415-GRL-4-F-2001, partial genome.","KX036362.1"
"488","KR906791","RV3149.1","domestic dog",11292,"Tanzania: Serengeti District","23-Jan-2012",NA,11874,"Rabies virus isolate RV3149.1 nucleoprotein (N), phosphoprotein (P), matrix protein (M), glycoprotein (G), and polymerase (L) genes, complete cds.","KR906791.1"
"489","KR906788","RV3132.1","cow",11292,"Tanzania: Serengeti District","02-Apr-2012",NA,11919,"Rabies virus isolate RV3132.1 nucleoprotein (N), phosphoprotein (P), matrix protein (M), glycoprotein (G), and polymerase (L) genes, complete cds.","KR906788.1"
"490","KR906782","RV3111.1","domestic dog",11292,"Tanzania: Serengeti District","29-Apr-2012",NA,11919,"Rabies virus isolate RV3111.1 nucleoprotein (N), phosphoprotein (P), matrix protein (M), glycoprotein (G), and polymerase (L) genes, complete cds.","KR906782.1"
"491","KR906778","RV3093.1","unknown",11292,"Tanzania: Serengeti District","22-Dec-2011",NA,11914,"Rabies virus isolate RV3093.1 nucleoprotein (N), phosphoprotein (P), matrix protein (M), glycoprotein (G), and polymerase (L) genes, complete cds.","KR906778.1"
"492","KR906775","RV2902.1","unknown",11292,"Tanzania: Serengeti District","24-Sep-2011",NA,11854,"Rabies virus isolate RV2902.1 nucleoprotein (N), phosphoprotein (P), matrix protein (M), glycoprotein (G), and polymerase (L) genes, complete cds.","KR906775.1"
"493","KR906770","RV2875.1","domestic dog",11292,"Tanzania: Serengeti District","29-Jun-2011",NA,11914,"Rabies virus isolate RV2875.1 nucleoprotein (N), phosphoprotein (P), matrix protein (M), glycoprotein (G), and polymerase (L) genes, complete cds.","KR906770.1"
"494","KR906768","RV2862.1","domestic dog",11292,"Tanzania: Serengeti District","11-May-2011",NA,11878,"Rabies virus isolate RV2862.1 nucleoprotein (N), phosphoprotein (P), matrix protein (M), glycoprotein (G), and polymerase (L) genes, complete cds.","KR906768.1"
"495","KR906767","RV2861.1","domestic dog",11292,"Tanzania: Serengeti District","11-May-2011",NA,11914,"Rabies virus isolate RV2861.1 nucleoprotein (N), phosphoprotein (P), matrix protein (M), glycoprotein (G), and polymerase (L) genes, complete cds.","KR906767.1"
"496","KR906766","RV2817.1","domestic dog",11292,"Tanzania: Pemba island","26-Nov-2010",NA,11914,"Rabies virus isolate RV2817.1 nucleoprotein (N), phosphoprotein (P), matrix protein (M), glycoprotein (G), and polymerase (L) genes, complete cds.","KR906766.1"
"497","KR906764","RV2815.1","goat",11292,"Tanzania: Morogoro region","27-Sep-2010",NA,11914,"Rabies virus isolate RV2815.1 nucleoprotein (N), phosphoprotein (P), matrix protein (M), glycoprotein (G), and polymerase (L) genes, complete cds.","KR906764.1"
"498","KR906762","RV2813.1","domestic dog",11292,"Tanzania: Morogoro region","28-Apr-2010",NA,11914,"Rabies virus isolate RV2813.1 nucleoprotein (N), phosphoprotein (P), matrix protein (M), glycoprotein (G), and polymerase (L) genes, complete cds.","KR906762.1"
"499","KR906761","RV2811.1","domestic dog",11292,"Tanzania: Morogoro region","24-Apr-2010",NA,11845,"Rabies virus isolate RV2811.1 nucleoprotein (N) gene, partial cds; phosphoprotein (P), matrix protein (M), and glycoprotein (G) genes, complete cds; and polymerase (L) gene, partial cds.","KR906761.1"
"500","KR906759","RV2809.1","domestic dog",11292,"Tanzania: Morogoro region","16-Apr-2010",NA,11829,"Rabies virus isolate RV2809.1 nucleoprotein (N), phosphoprotein (P), matrix protein (M), glycoprotein (G), and polymerase (L) genes, complete cds.","KR906759.1"
"501","KR906758","RV2808.1","sheep",11292,"Tanzania: Morogoro region","04-Apr-2010",NA,11825,"Rabies virus isolate RV2808.1 nucleoprotein (N) gene, partial cds; and phosphoprotein (P), matrix protein (M), glycoprotein (G), and polymerase (L) genes, complete cds.","KR906758.1"
"502","KR906757","RV2807.1","domestic dog",11292,"Tanzania: Lindi region","03-Oct-2010",NA,11890,"Rabies virus isolate RV2807.1 nucleoprotein (N), phosphoprotein (P), matrix protein (M), glycoprotein (G), and polymerase (L) genes, complete cds.","KR906757.1"
"503","KR906754","RV2784.1","domestic dog",11292,"Tanzania: Lindi region","28-Feb-2011",NA,11865,"Rabies virus isolate RV2784.1 nucleoprotein (N), phosphoprotein (P), matrix protein (M), glycoprotein (G), and polymerase (L) genes, complete cds.","KR906754.1"
"504","KR906751","RV2780.1","domestic dog",11292,"Tanzania: Lindi region","07-Feb-2011",NA,11915,"Rabies virus isolate RV2780.1 nucleoprotein (N), phosphoprotein (P), matrix protein (M), glycoprotein (G), and polymerase (L) genes, complete cds.","KR906751.1"
"505","KR906750","RV2778.1","domestic dog",11292,"Tanzania: Pemba island","26-Dec-2010",NA,11854,"Rabies virus isolate RV2778.1 nucleoprotein (N), phosphoprotein (P), matrix protein (M), glycoprotein (G), and polymerase (L) genes, complete cds.","KR906750.1"
"506","KR906749","RV2777.1","domestic dog",11292,"Tanzania: Pemba island","24-Dec-2010",NA,11878,"Rabies virus isolate RV2777.1 nucleoprotein (N), phosphoprotein (P), matrix protein (M), glycoprotein (G), and polymerase (L) genes, complete cds.","KR906749.1"
"507","KR906746","RV2774.1","domestic dog",11292,"Tanzania: Dar es Salaam","02-Nov-2010",NA,11875,"Rabies virus isolate RV2774.1 nucleoprotein (N), phosphoprotein (P), matrix protein (M), glycoprotein (G), and polymerase (L) genes, complete cds.","KR906746.1"
"508","KR906745","RV2773.1","domestic dog",11292,"Tanzania: Pwani region","26-Oct-2010",NA,11914,"Rabies virus isolate RV2773.1 nucleoprotein (N), phosphoprotein (P), matrix protein (M), glycoprotein (G), and polymerase (L) genes, complete cds.","KR906745.1"
"509","KR906744","RV2771.1","domestic dog",11292,"Tanzania: Iringa region","27-May-2010",NA,11914,"Rabies virus isolate RV2771.1 nucleoprotein (N), phosphoprotein (P), matrix protein (M), glycoprotein (G), and polymerase (L) genes, complete cds.","KR906744.1"
"510","KR906743","RV2770.1","domestic dog",11292,"Tanzania: Dar es Salaam","03-May-2010",NA,11914,"Rabies virus isolate RV2770.1 nucleoprotein (N), phosphoprotein (P), matrix protein (M), glycoprotein (G), and polymerase (L) genes, complete cds.","KR906743.1"
"511","KR906740","RV2503.1","wild cat",11292,"Tanzania: Serengeti District","15-Feb-2009",NA,11914,"Rabies virus isolate RV2503.1 nucleoprotein (N), phosphoprotein (P), matrix protein (M), glycoprotein (G), and polymerase (L) genes, complete cds.","KR906740.1"
"512","KR906735","RV2498.1","domestic dog",11292,"Tanzania: Morogoro region","06-Aug-2008",NA,11903,"Rabies virus isolate RV2498.1 nucleoprotein (N), phosphoprotein (P), matrix protein (M), glycoprotein (G), and polymerase (L) genes, complete cds.","KR906735.1"
"513","KM594043","IP 4005/12","Bos taurus",11292,"Brazil","2012",NA,11881,"Rabies virus isolate IP 4005/12, complete genome.","KM594043.1"
"514","KM594042","IP 2991/13","Desmodus rotundus",11292,"Brazil","2013",NA,11879,"Rabies virus isolate IP 2991/13, complete genome.","KM594042.1"
"515","KM594041","IP 2990/13","Desmodus rotundus",11292,"Brazil","2013",NA,11879,"Rabies virus isolate IP 2990/13, complete genome.","KM594041.1"
"516","KM594040","IP 2992/13","Desmodus rotundus",11292,"Brazil","2013",NA,11879,"Rabies virus isolate IP 2992/13, complete genome.","KM594040.1"
"517","KM594039","IP 7841/09","Cerdocyon thous",11292,"Brazil","2009",NA,11881,"Rabies virus isolate IP 7841/09, complete genome.","KM594039.1"
"518","KM594038","IP 1586/10","Tadarida brasiliensis",11292,"Brazil","2010",NA,11879,"Rabies virus isolate IP 1586/10, complete genome.","KM594038.1"
"519","KM594037","IP 3176/09","Tadarida brasiliensis",11292,"Brazil","2009",NA,11879,"Rabies virus isolate IP 3176/09, complete genome.","KM594037.1"
"520","KM594036","IP 542/10","Nyctinomops laticaudatus",11292,"Brazil","2010",NA,11883,"Rabies virus isolate IP 542/10, complete genome.","KM594036.1"
"521","KM594035","IP 412/10","Nyctinomops laticaudatus",11292,"Brazil","2010",NA,11883,"Rabies virus isolate IP 412/10, complete genome.","KM594035.1"
"522","KM594034","IP 350/10","Nyctinomops laticaudatus",11292,"Brazil","2010",NA,11883,"Rabies virus isolate IP 350/10, complete genome.","KM594034.1"
"523","KM594033","IP 4431/10","Tadarida brasiliensis",11292,"Brazil","2010",NA,11883,"Rabies virus isolate IP 4431/10, complete genome.","KM594033.1"
"524","KM594032","IP 497/10","Myotis nigricans",11292,"Brazil","2010",NA,11880,"Rabies virus isolate IP 497/10, complete genome.","KM594032.1"
"525","KM594031","IP 163/10","Myotis nigricans",11292,"Brazil","2010",NA,11879,"Rabies virus isolate IP 163/10, complete genome.","KM594031.1"
"526","KM594030","IP 1400/10","Myotis nigricans",11292,"Brazil","2010",NA,11880,"Rabies virus isolate IP 1400/10, complete genome.","KM594030.1"
"527","KM594029","IP 3208/06","Eptesicus furinalis",11292,"Brazil","2006",NA,11882,"Rabies virus isolate IP 3208/06, complete genome.","KM594029.1"
"528","KM594028","IP 346/10","Eptesicus furinalis",11292,"Brazil","2010",NA,11881,"Rabies virus isolate IP 346/10, complete genome.","KM594028.1"
"529","KM594027","IP 230/10","Eptesicus furinalis",11292,"Brazil","2010",NA,11881,"Rabies virus isolate IP 230/10, complete genome.","KM594027.1"
"530","KM594026","IP 512/09","Eptesicus furinalis",11292,"Brazil","2009",NA,11881,"Rabies virus isolate IP 512/09, complete genome.","KM594026.1"
"531","KM594025","IP 5402/07","Callithrix jacchus",11292,"Brazil","2007",NA,11878,"Rabies virus isolate IP 5402/07, complete genome.","KM594025.1"
"532","KM594024","IP 1770/12","Callithrix jacchus",11292,"Brazil","2012",NA,11879,"Rabies virus isolate IP 1770/12, complete genome.","KM594024.1"
"533","KM594023","IP 6634/08","Callithrix jacchus",11292,"Brazil","2008",NA,11878,"Rabies virus isolate IP 6634/08, complete genome.","KM594023.1"
"534","KT728349","Rus(Astrakhan)_8330H_2003","Homo sapiens",11292,"Russia: Astrakhan region","2003",NA,11873,"Rabies virus isolate Rus(Astrakhan)_8330H_2003, complete genome.","KT728349.1"
"535","KT728348","Rus(Astrakhan)_8329H_2003","Homo sapiens",11292,"Russia: Astrakhan region","2003",NA,11873,"Rabies virus isolate Rus(Astrakhan)_8329H_2003, complete genome.","KT728348.1"
"536","LN713668","sag2BatchF04_4_var02","cell culture",11292,NA,NA,NA,11919,"Rabies virus complete genome, isolate sag2BatchF04_4_var02.","LN713668.1"
"537","LN713667","sag2BatchF04_4_var01","cell culture",11292,NA,NA,NA,11919,"Rabies virus complete genome, isolate sag2BatchF04_4_var01.","LN713667.1"
"538","LN713664","sag2BatchF04_2_var01","cell culture",11292,NA,NA,NA,11908,"Rabies virus complete genome, isolate sag2BatchF04_2_var01.","LN713664.1"
"539","LN713663","sag2BatchF04_1_var02","cell culture",11292,NA,NA,NA,11909,"Rabies virus complete genome, isolate sag2BatchF04_1_var02.","LN713663.1"
"540","LN713662","sag2BatchF04_1_var01","cell culture",11292,NA,NA,NA,11909,"Rabies virus complete genome, isolate sag2BatchF04_1_var01.","LN713662.1"
"541","LN713660","sadWistar_4_var01","cell culture",11292,NA,NA,NA,11873,"Rabies virus complete genome, isolate sadWistar_4_var01.","LN713660.1"
"542","LN713658","sadWistar_2_var01","cell culture",11292,NA,NA,NA,11889,"Rabies virus complete genome, isolate sadWistar_2_var01.","LN713658.1"
"543","LN713657","sadWistar_1_var01","cell culture",11292,NA,NA,NA,11885,"Rabies virus complete genome, isolate sadWistar_1_var01.","LN713657.1"
"544","LN713651","sadP588_5_var01","cell culture",11292,NA,NA,NA,11916,"Rabies virus complete genome, isolate sadP588_5_var01.","LN713651.1"
"545","LN713650","sadP588_4_var01","cell culture",11292,NA,NA,NA,11906,"Rabies virus complete genome, isolate sadP588_4_var01.","LN713650.1"
"546","LN713649","sadP588_3_var01","cell culture",11292,NA,NA,NA,11917,"Rabies virus complete genome, isolate sadP588_3_var01.","LN713649.1"
"547","LN713647","sadP588_1_var01","cell culture",11292,NA,NA,NA,11912,"Rabies virus complete genome, isolate sadP588_1_var01.","LN713647.1"
"548","LN713646","sadLysvulpen0609_5_var02","cell culture",11292,NA,NA,NA,11906,"Rabies virus complete genome, isolate sadLysvulpen0609_5_var02.","LN713646.1"
"549","LN713645","sadLysvulpen0609_5_var01","cell culture",11292,NA,NA,NA,11906,"Rabies virus complete genome, isolate sadLysvulpen0609_5_var01.","LN713645.1"
"550","LN713644","sadLysvulpen0609_4_var02","cell culture",11292,NA,NA,NA,11874,"Rabies virus complete genome, isolate sadLysvulpen0609_4_var02.","LN713644.1"
"551","LN713643","sadLysvulpen0609_4_var01","cell culture",11292,NA,NA,NA,11874,"Rabies virus complete genome, isolate sadLysvulpen0609_4_var01.","LN713643.1"
"552","LN713642","sadLysvulpen0609_3_var04","cell culture",11292,NA,NA,NA,11893,"Rabies virus complete genome, isolate sadLysvulpen0609_3_var04.","LN713642.1"
"553","LN713641","sadLysvulpen0609_3_var03","cell culture",11292,NA,NA,NA,11893,"Rabies virus complete genome, isolate sadLysvulpen0609_3_var03.","LN713641.1"
"554","LN713640","sadLysvulpen0609_3_var02","cell culture",11292,NA,NA,NA,11893,"Rabies virus complete genome, isolate sadLysvulpen0609_3_var02.","LN713640.1"
"555","LN713639","sadLysvulpen0609_3_var01","cell culture",11292,NA,NA,NA,11893,"Rabies virus complete genome, isolate sadLysvulpen0609_3_var01.","LN713639.1"
"556","LN713638","sadLysvulpen0609_2_var02","cell culture",11292,NA,NA,NA,11897,"Rabies virus complete genome, isolate sadLysvulpen0609_2_var02.","LN713638.1"
"557","LN713637","sadLysvulpen0609_2_var01","cell culture",11292,NA,NA,NA,11898,"Rabies virus complete genome, isolate sadLysvulpen0609_2_var01.","LN713637.1"
"558","LN713632","sadERAtueb_3_var01","cell culture",11292,NA,NA,NA,11918,"Rabies virus complete genome, isolate sadERAtueb_3_var01.","LN713632.1"
